PRODLIST-Ind 2022,NCM 2022 (SET/2022),PRODLIST Ind 2019,NCM 2019,PRODLIST Ind 2016,NCM 2016
2121.2055,3004.20.79,,,,
2121.2055,3004.20.91,,,,
2121.2055,3004.20.92,,,,
2121.2055,3004.20.93,,,,
2121.2055,3004.20.94,,,,
2121.2055,3004.20.95,,,,
2121.2055,3004.20.99,,,,
2121.2070,3003.90.52,,,,
2121.2070,3004.90.42,,,,
2121.2090,3003.90.79,,,,
2121.2090,3004.90.69,,,,
2121.2110,3003.90.87,,,,
2121.2110,3004.90.77,,,,
2121.2130,3003.90.47,,,,
2121.2130,3003.90.93,,,,
2121.2130,3004.90.37,,,,
2121.2130,3004.90.93,,,,
2121.2140,3003.90.79,,,,
2121.2140,3004.90.69,,,,
2121.2160,3003.90.21,,,,
2121.2160,3003.90.22,,,,
2121.2160,3003.90.23,,,,
2121.2160,3003.90.24,,,,
2121.2160,3003.90.25,,,,
2121.2160,3003.90.29,,,,
2121.2160,3004.90.11,,,,
2121.2160,3004.90.12,,,,
2121.2160,3004.90.13,,,,
2121.2160,3004.90.14,,,,
2121.2160,3004.90.15,,,,
2121.2160,3004.90.19,,,,
2121.2175,3003.90.99,,,,
2121.2175,3004.90.99,,,,
2121.2185,3003.31.00,,,,
2121.2185,3003.39.11,,,,
2121.2185,3003.39.12,,,,
2121.2185,3003.39.13,,,,
2121.2185,3003.39.14,,,,
2121.2185,3003.39.15,,,,
2121.2185,3003.39.16,,,,
2121.2185,3003.39.17,,,,
2121.2185,3003.39.18,,,,
2121.2185,3003.39.19,,,,
2121.2185,3003.39.21,,,,
2121.2185,3003.39.22,,,,
2121.2185,3003.39.23,,,,
2121.2185,3003.39.24,,,,
2121.2185,3003.39.25,,,,
2121.2185,3003.39.26,,,,
2121.2185,3003.39.27,,,,
2121.2185,3003.39.29,,,,
2121.2185,3003.39.31,,,,
2121.2185,3003.39.32,,,,
2121.2185,3003.39.33,,,,
2121.2185,3003.39.34,,,,
2121.2185,3003.39.35,,,,
2121.2185,3003.39.36,,,,
2121.2185,3003.39.37,,,,
2121.2185,3003.39.39,,,,
2121.2185,3003.39.81,,,,
2121.2185,3003.39.82,,,,
2121.2185,3003.39.91,,,,
2121.2185,3003.39.92,,,,
2121.2185,3003.39.94,,,,
2121.2185,3003.39.95,,,,
2121.2185,3003.39.99,,,,
2121.2185,3004.31.00,,,,
2121.2185,3004.32.10,,,,
2121.2185,3004.32.20,,,,
2121.2185,3004.32.90,,,,
2121.2185,3004.39.11,,,,
2121.2185,3004.39.12,,,,
2121.2185,3004.39.13,,,,
2121.2185,3004.39.14,,,,
2121.2185,3004.39.15,,,,
2121.2185,3004.39.16,,,,
2121.2185,3004.39.17,,,,
2121.2185,3004.39.18,,,,
2121.2185,3004.39.19,,,,
2121.2185,3004.39.21,,,,
2121.2185,3004.39.22,,,,
2121.2185,3004.39.23,,,,
2121.2185,3004.39.24,,,,
2121.2185,3004.39.25,,,,
2121.2185,3004.39.26,,,,
2121.2185,3004.39.27,,,,
2121.2185,3004.39.28,,,,
2121.2185,3004.39.29,,,,
2121.2185,3004.39.31,,,,
2121.2185,3004.39.32,,,,
2121.2185,3004.39.33,,,,
2121.2185,3004.39.34,,,,
2121.2185,3004.39.35,,,,
2121.2185,3004.39.36,,,,
2121.2185,3004.39.37,,,,
2121.2185,3004.39.39,,,,
2121.2185,3004.39.81,,,,
2121.2185,3004.39.82,,,,
2121.2185,3004.39.91,,,,
2121.2185,3004.39.92,,,,
2121.2185,3004.39.94,,,,
2121.2185,3004.39.99,,,,
2121.2200,3003.90.79,,,,
2121.2200,3004.90.69,,,,
2121.2220,3003.90.89,,,,
2121.2220,3004.90.79,,,,
2121.2230,3003.90.55,,,,
2121.2230,3004.90.45,,,,
2121.2255,3003.10.11,,,,
2121.2255,3003.10.12,,,,
2121.2255,3003.10.13,,,,
2121.2255,3003.10.14,,,,
2121.2255,3003.10.15,,,,
2121.2255,3003.10.19,,,,
2121.2255,3003.10.20,,,,
2121.2255,3004.10.11,,,,
2121.2255,3004.10.12,,,,
2121.2255,3004.10.13,,,,
2121.2255,3004.10.14,,,,
2121.2255,3004.10.15,,,,
2121.2255,3004.10.19,,,,
2121.2255,3004.10.20,,,,
2121.2268,3003.90.79,,,,
2121.2268,3004.90.69,,,,
2121.2285,3003.90.99,,,,
2121.2285,3004.90.99,,,,
2121.2305,3003.60.00,,,,
2121.2305,3003.90.31,,,,
2121.2305,3003.90.32,,,,
2121.2305,3003.90.33,,,,
2121.2305,3003.90.35,,,,
2121.2305,3003.90.36,,,,
2121.2305,3003.90.37,,,,
2121.2305,3003.90.38,,,,
2121.2305,3003.90.39,,,,
2121.2305,3003.90.41,,,,
2121.2305,3003.90.42,,,,
2121.2305,3003.90.43,,,,
2121.2305,3003.90.44,,,,
2121.2305,3003.90.45,,,,
2121.2305,3003.90.46,,,,
2121.2305,3003.90.47,,,,
2121.2305,3003.90.48,,,,
2121.2305,3003.90.49,,,,
2121.2305,3003.90.61,,,,
2121.2305,3003.90.62,,,,
2121.2305,3003.90.63,,,,
2121.2305,3003.90.64,,,,
2121.2305,3003.90.65,,,,
2121.2305,3003.90.66,,,,
2121.2305,3003.90.67,,,,
2121.2305,3003.90.69,,,,
2121.2305,3003.90.71,,,,
2121.2305,3003.90.72,,,,
2121.2305,3003.90.73,,,,
2121.2305,3003.90.74,,,,
2121.2305,3003.90.75,,,,
2121.2305,3003.90.76,,,,
2121.2305,3003.90.77,,,,
2121.2305,3003.90.78,,,,
2121.2305,3003.90.81,,,,
2121.2305,3003.90.82,,,,
2121.2305,3003.90.83,,,,
2121.2305,3003.90.84,,,,
2121.2305,3003.90.85,,,,
2121.2305,3003.90.86,,,,
2121.2305,3003.90.91,,,,
2121.2305,3003.90.92,,,,
2121.2305,3003.90.93,,,,
2121.2305,3003.90.94,,,,
2121.2305,3003.90.95,,,,
2121.2305,3003.90.96,,,,
2121.2305,3003.90.99,,,,
2121.2305,3004.60.00,,,,
2121.2305,3004.90.21,,,,
2121.2305,3004.90.22,,,,
2121.2305,3004.90.23,,,,
2121.2305,3004.90.25,,,,
2121.2305,3004.90.26,,,,
2121.2305,3004.90.27,,,,
2121.2305,3004.90.28,,,,
2121.2305,3004.90.29,,,,
2121.2305,3004.90.31,,,,
2121.2305,3004.90.32,,,,
2121.2305,3004.90.33,,,,
2121.2305,3004.90.34,,,,
2121.2305,3004.90.35,,,,
2121.2305,3004.90.36,,,,
2121.2305,3004.90.37,,,,
2121.2305,3004.90.38,,,,
2121.2305,3004.90.39,,,,
2121.2305,3004.90.51,,,,
2121.2305,3004.90.52,,,,
2121.2305,3004.90.53,,,,
2121.2305,3004.90.54,,,,
2121.2305,3004.90.55,,,,
2121.2305,3004.90.57,,,,
2121.2305,3004.90.58,,,,
2121.2305,3004.90.59,,,,
2121.2305,3004.90.61,,,,
2121.2305,3004.90.62,,,,
2121.2305,3004.90.63,,,,
2121.2305,3004.90.64,,,,
2121.2305,3004.90.65,,,,
2121.2305,3004.90.66,,,,
2121.2305,3004.90.67,,,,
2121.2305,3004.90.68,,,,
2121.2305,3004.90.71,,,,
2121.2305,3004.90.72,,,,
2121.2305,3004.90.73,,,,
2121.2305,3004.90.74,,,,
2121.2305,3004.90.75,,,,
2121.2305,3004.90.76,,,,
2121.2305,3004.90.91,,,,
2121.2305,3004.90.92,,,,
2121.2305,3004.90.93,,,,
2121.2305,3004.90.94,,,,
2121.2305,3004.90.95,,,,
2121.2305,3004.90.96,,,,
2121.2305,3004.90.97,,,,
2121.2305,3004.90.99,,,,
2121.2305,3307.90.00,,,,
2121.2307,3003.90.11,,,,
2121.2307,3003.90.12,,,,
2121.2307,3003.90.13,,,,
2121.2307,3003.90.14,,,,
2121.2307,3003.90.15,,,,
2121.2307,3003.90.16,,,,
2121.2307,3003.90.17,,,,
2121.2307,3003.90.19,,,,
2121.2307,3004.50.10,,,,
2121.2307,3004.50.20,,,,
2121.2307,3004.50.30,,,,
2121.2307,3004.50.40,,,,
2121.2307,3004.50.50,,,,
2121.2307,3004.50.60,,,,
2121.2307,3004.50.90,,,,
2121.2310,3004.90.99,,,,
2121.2320,3003.90.87,,,,
2121.2320,3003.90.89,,,,
2121.2320,3004.90.77,,,,
2121.2320,3004.90.79,,,,
2121.2322,3003.41.00,,,,
2121.2322,3003.42.00,,,,
2121.2322,3003.43.00,,,,
2121.2322,3003.49.10,,,,
2121.2322,3003.49.20,,,,
2121.2322,3003.49.30,,,,
2121.2322,3003.49.40,,,,
2121.2322,3003.49.50,,,,
2121.2322,3003.49.90,,,,
2121.2322,3004.41.00,,,,
2121.2322,3004.42.00,,,,
2121.2322,3004.43.00,,,,
2121.2322,3004.49.10,,,,
2121.2322,3004.49.20,,,,
2121.2322,3004.49.30,,,,
2121.2322,3004.49.40,,,,
2121.2322,3004.49.50,,,,
2121.2322,3004.49.90,,,,
2121.2330,3003.90.51,,,,
2121.2330,3003.90.52,,,,
2121.2330,3003.90.53,,,,
2121.2330,3003.90.54,,,,
2121.2330,3003.90.55,,,,
2121.2330,3003.90.56,,,,
2121.2330,3003.90.57,,,,
2121.2330,3003.90.58,,,,
2121.2330,3003.90.59,,,,
2121.2330,3004.90.41,,,,
2121.2330,3004.90.42,,,,
2121.2330,3004.90.43,,,,
2121.2330,3004.90.44,,,,
2121.2330,3004.90.45,,,,
2121.2330,3004.90.46,,,,
2121.2330,3004.90.47,,,,
2121.2330,3004.90.48,,,,
2121.2330,3004.90.49,,,,
2121.2340,3003.90.79,,,,
2121.2340,3004.90.69,,,,
2121.2370,3003.90.82,,,,
2121.2370,3003.90.83,,,,
2121.2370,3003.90.85,,,,
2121.2370,3003.90.86,,,,
2121.2370,3003.90.88,,,,
2121.2370,3004.90.72,,,,
2121.2370,3004.90.73,,,,
2121.2370,3004.90.75,,,,
2121.2370,3004.90.76,,,,
2121.2370,3004.90.78,,,,
2121.2380,3003.20.11,,,,
2121.2380,3003.20.19,,,,
2121.2380,3003.20.21,,,,
2121.2380,3003.20.29,,,,
2121.2380,3003.20.31,,,,
2121.2380,3003.20.32,,,,
2121.2380,3003.20.39,,,,
2121.2380,3003.20.41,,,,
2121.2380,3003.20.49,,,,
2121.2380,3003.20.51,,,,
2121.2380,3003.20.52,,,,
2121.2380,3003.20.59,,,,
2121.2380,3003.20.61,,,,
2121.2380,3003.20.62,,,,
2121.2380,3003.20.63,,,,
2121.2380,3003.20.69,,,,
2121.2380,3003.20.71,,,,
2121.2380,3003.20.72,,,,
2121.2380,3003.20.73,,,,
2121.2380,3003.20.79,,,,
2121.2380,3003.20.91,,,,
2121.2380,3003.20.92,,,,
2121.2380,3003.20.93,,,,
2121.2380,3003.20.94,,,,
2121.2380,3003.20.95,,,,
2121.2380,3003.20.99,,,,
2121.2380,3003.90.31,,,,
2121.2380,3003.90.69,,,,
2121.2380,3003.90.71,,,,
2121.2380,3003.90.76,,,,
2121.2380,3003.90.79,,,,
2121.2380,3003.90.87,,,,
2121.2380,3004.20.11,,,,
2121.2380,3004.20.19,,,,
2121.2380,3004.20.21,,,,
2121.2380,3004.20.29,,,,
2121.2380,3004.20.31,,,,
2121.2380,3004.20.32,,,,
2121.2380,3004.20.39,,,,
2121.2380,3004.20.41,,,,
2121.2380,3004.20.49,,,,
2121.2380,3004.20.51,,,,
2121.2380,3004.20.52,,,,
2121.2380,3004.20.59,,,,
2121.2380,3004.20.61,,,,
2121.2380,3004.20.62,,,,
2121.2380,3004.20.63,,,,
2121.2380,3004.20.69,,,,
2121.2380,3004.20.71,,,,
2121.2380,3004.20.72,,,,
2121.2380,3004.20.73,,,,
2121.2380,3004.20.79,,,,
2121.2380,3004.20.91,,,,
2121.2380,3004.20.92,,,,
2121.2380,3004.20.93,,,,
2121.2380,3004.20.94,,,,
2121.2380,3004.20.95,,,,
2121.2380,3004.20.99,,,,
2121.2380,3004.90.21,,,,
2121.2380,3004.90.59,,,,
2121.2380,3004.90.61,,,,
2121.2380,3004.90.66,,,,
2121.2380,3004.90.69,,,,
2121.2380,3004.90.77,,,,
2121.2380,3004.90.79,,,,
2121.2390,3006.60.00,,,,
2121.2395,3004.90.99,,,,
2121.2400,3002.12.11,,,,
2121.2400,3002.12.12,,,,
2121.2400,3002.12.13,,,,
2121.2400,3002.12.14,,,,
2121.2400,3002.12.15,,,,
2121.2400,3002.12.16,,,,
2121.2400,3002.12.19,,,,
2121.2400,3002.12.21,,,,
2121.2400,3002.12.22,,,,
2121.2400,3002.12.23,,,,
2121.2400,3002.12.24,,,,
2121.2400,3002.12.29,,,,
2121.2400,3002.12.31,,,,
2121.2400,3002.12.32,,,,
2121.2400,3002.12.33,,,,
2121.2400,3002.12.34,,,,
2121.2400,3002.12.35,,,,
2121.2400,3002.12.36,,,,
2121.2400,3002.12.39,,,,
2121.2400,3002.13.00,,,,
2121.2400,3002.14.00,,,,
2121.2400,3002.15.10,,,,
2121.2400,3002.15.20,,,,
2121.2400,3002.15.90,,,,
2121.2400,3822.11.00,,,,
2121.2400,3822.19.40,,,,
2121.2400,Vazio,,,,
2121.2410,3002.41.11,,,,
2121.2410,3002.41.12,,,,
2121.2410,3002.41.13,,,,
2121.2410,3002.41.14,,,,
2121.2410,3002.41.15,,,,
2121.2410,3002.41.16,,,,
2121.2410,3002.41.17,,,,
2121.2410,3002.41.18,,,,
2121.2410,3002.41.19,,,,
2121.2410,3002.41.21,,,,
2121.2410,3002.41.22,,,,
2121.2410,3002.41.23,,,,
2121.2410,3002.41.24,,,,
2121.2410,3002.41.25,,,,
2121.2410,3002.41.26,,,,
2121.2410,3002.41.27,,,,
2121.2410,3002.41.28,,,,
2121.2410,3002.41.29,,,,
2122.2045,3003.90.51,,,,
2122.2045,3003.90.52,,,,
2122.2045,3003.90.53,,,,
2122.2045,3003.90.54,,,,
2122.2045,3003.90.55,,,,
2122.2045,3003.90.56,,,,
2122.2045,3003.90.57,,,,
2122.2045,3003.90.58,,,,
2122.2045,3003.90.59,,,,
2122.2045,3004.90.41,,,,
2122.2045,3004.90.42,,,,
2122.2045,3004.90.43,,,,
2122.2045,3004.90.44,,,,
2122.2045,3004.90.45,,,,
2122.2045,3004.90.46,,,,
2122.2045,3004.90.47,,,,
2122.2045,3004.90.48,,,,
2122.2045,3004.90.49,,,,
2122.2055,3003.20.11,,,,
2122.2055,3003.20.19,,,,
2122.2055,3003.20.21,,,,
2122.2055,3003.20.29,,,,
2122.2055,3003.20.31,,,,
2122.2055,3003.20.32,,,,
2122.2055,3003.20.39,,,,
2122.2055,3003.20.41,,,,
2122.2055,3003.20.49,,,,
2122.2055,3003.20.51,,,,
2122.2055,3003.20.52,,,,
2122.2055,3003.20.59,,,,
2122.2055,3003.20.61,,,,
2122.2055,3003.20.62,,,,
2122.2055,3003.20.63,,,,
2122.2055,3003.20.69,,,,
2122.2055,3003.20.71,,,,
2122.2055,3003.20.72,,,,
2122.2055,3003.20.73,,,,
2122.2055,3003.20.79,,,,
2122.2055,3003.20.91,,,,
2122.2055,3003.20.92,,,,
2122.2055,3003.20.93,,,,
2122.2055,3003.20.94,,,,
2122.2055,3003.20.95,,,,
2122.2055,3003.20.99,,,,
2122.2055,3004.20.11,,,,
2122.2055,3004.20.19,,,,
2122.2055,3004.20.21,,,,
2122.2055,3004.20.29,,,,
2122.2055,3004.20.31,,,,
2122.2055,3004.20.32,,,,
2122.2055,3004.20.39,,,,
2122.2055,3004.20.41,,,,
2122.2055,3004.20.49,,,,
2122.2055,3004.20.51,,,,
2122.2055,3004.20.52,,,,
2122.2055,3004.20.59,,,,
2122.2055,3004.20.61,,,,
2122.2055,3004.20.62,,,,
2122.2055,3004.20.63,,,,
2122.2055,3004.20.69,,,,
2122.2055,3004.20.71,,,,
2122.2055,3004.20.72,,,,
2122.2055,3004.20.73,,,,
2122.2055,3004.20.79,,,,
2122.2055,3004.20.91,,,,
2122.2055,3004.20.92,,,,
2122.2055,3004.20.93,,,,
2122.2055,3004.20.94,,,,
2122.2055,3004.20.95,,,,
2122.2055,3004.20.99,,,,
2122.2060,3003.90.87,,,,
2122.2060,3004.90.77,,,,
2122.2080,3003.90.21,,,,
2122.2080,3003.90.22,,,,
2122.2080,3003.90.23,,,,
2122.2080,3003.90.25,,,,
2122.2080,3003.90.29,,,,
2122.2080,3004.90.11,,,,
2122.2080,3004.90.12,,,,
2122.2080,3004.90.13,,,,
2122.2080,3004.90.14,,,,
2122.2080,3004.90.15,,,,
2122.2080,3004.90.19,,,,
2122.2105,3003.31.00,,,,
2122.2105,3003.39.11,,,,
2122.2105,3003.39.12,,,,
2122.2105,3003.39.13,,,,
2122.2105,3003.39.14,,,,
2122.2105,3003.39.15,,,,
2122.2105,3003.39.16,,,,
2122.2105,3003.39.17,,,,
2122.2105,3003.39.18,,,,
2122.2105,3003.39.19,,,,
2122.2105,3003.39.21,,,,
2122.2105,3003.39.22,,,,
2122.2105,3003.39.23,,,,
2122.2105,3003.39.24,,,,
2122.2105,3003.39.25,,,,
2122.2105,3003.39.26,,,,
2122.2105,3003.39.27,,,,
2122.2105,3003.39.29,,,,
2122.2105,3003.39.31,,,,
2122.2105,3003.39.32,,,,
2122.2105,3003.39.33,,,,
2122.2105,3003.39.34,,,,
2122.2105,3003.39.35,,,,
2122.2105,3003.39.36,,,,
2122.2105,3003.39.37,,,,
2122.2105,3003.39.39,,,,
2122.2105,3003.39.81,,,,
2122.2105,3003.39.82,,,,
2122.2105,3003.39.91,,,,
2122.2105,3003.39.92,,,,
2122.2105,3003.39.94,,,,
2122.2105,3003.39.95,,,,
2122.2105,3003.39.99,,,,
2122.2105,3004.31.00,,,,
2122.2105,3004.32.10,,,,
2122.2105,3004.32.20,,,,
2122.2105,3004.32.90,,,,
2122.2105,3004.39.11,,,,
2122.2105,3004.39.12,,,,
2122.2105,3004.39.13,,,,
2122.2105,3004.39.14,,,,
2122.2105,3004.39.15,,,,
2122.2105,3004.39.16,,,,
2122.2105,3004.39.17,,,,
2122.2105,3004.39.18,,,,
2122.2105,3004.39.19,,,,
2122.2105,3004.39.21,,,,
2122.2105,3004.39.22,,,,
2122.2105,3004.39.23,,,,
2122.2105,3004.39.24,,,,
2122.2105,3004.39.25,,,,
2122.2105,3004.39.26,,,,
2122.2105,3004.39.27,,,,
2122.2105,3004.39.28,,,,
2122.2105,3004.39.29,,,,
2122.2105,3004.39.31,,,,
2122.2105,3004.39.32,,,,
2122.2105,3004.39.33,,,,
2122.2105,3004.39.34,,,,
2122.2105,3004.39.35,,,,
2122.2105,3004.39.36,,,,
2122.2105,3004.39.37,,,,
2122.2105,3004.39.39,,,,
2122.2105,3004.39.81,,,,
2122.2105,3004.39.82,,,,
2122.2105,3004.39.91,,,,
2122.2105,3004.39.92,,,,
2122.2105,3004.39.94,,,,
2122.2105,3004.39.99,,,,
2122.2135,3003.10.11,,,,
2122.2135,3003.10.12,,,,
2122.2135,3003.10.13,,,,
2122.2135,3003.10.14,,,,
2122.2135,3003.10.15,,,,
2122.2135,3003.10.19,,,,
2122.2135,3003.10.20,,,,
2122.2135,3004.10.11,,,,
2122.2135,3004.10.12,,,,
2122.2135,3004.10.13,,,,
2122.2135,3004.10.14,,,,
2122.2135,3004.10.15,,,,
2122.2135,3004.10.19,,,,
2122.2135,3004.10.20,,,,
2122.2165,3003.90.11,,,,
2122.2165,3003.90.12,,,,
2122.2165,3003.90.13,,,,
2122.2165,3003.90.14,,,,
2122.2165,3003.90.15,,,,
2122.2165,3003.90.16,,,,
2122.2165,3003.90.17,,,,
2122.2165,3003.90.19,,,,
2122.2165,3004.50.10,,,,
2122.2165,3004.50.20,,,,
2122.2165,3004.50.30,,,,
2122.2165,3004.50.40,,,,
2122.2165,3004.50.50,,,,
2122.2165,3004.50.60,,,,
2122.2165,3004.50.90,,,,
2122.2170,3003.90.31,,,,
2122.2170,3003.90.32,,,,
2122.2170,3003.90.33,,,,
2122.2170,3003.90.35,,,,
2122.2170,3003.90.36,,,,
2122.2170,3003.90.37,,,,
2122.2170,3003.90.38,,,,
2122.2170,3003.90.39,,,,
2122.2170,3003.90.41,,,,
2122.2170,3003.90.42,,,,
2122.2170,3003.90.43,,,,
2122.2170,3003.90.44,,,,
2122.2170,3003.90.45,,,,
2122.2170,3003.90.46,,,,
2122.2170,3003.90.47,,,,
2122.2170,3003.90.48,,,,
2122.2170,3003.90.49,,,,
2122.2170,3003.90.61,,,,
2122.2170,3003.90.62,,,,
2122.2170,3003.90.63,,,,
2122.2170,3003.90.64,,,,
2122.2170,3003.90.65,,,,
2122.2170,3003.90.66,,,,
2122.2170,3003.90.67,,,,
2122.2170,3003.90.69,,,,
2122.2170,3003.90.71,,,,
2122.2170,3003.90.72,,,,
2122.2170,3003.90.73,,,,
2122.2170,3003.90.74,,,,
2122.2170,3003.90.75,,,,
2122.2170,3003.90.76,,,,
2122.2170,3003.90.77,,,,
2122.2170,3003.90.78,,,,
2122.2170,3003.90.91,,,,
2122.2170,3003.90.92,,,,
2122.2170,3003.90.93,,,,
2122.2170,3003.90.94,,,,
2122.2170,3003.90.95,,,,
2122.2170,3003.90.96,,,,
2122.2170,3003.90.97,,,,
2122.2170,3003.90.99,,,,
2122.2170,3004.90.21,,,,
2122.2170,3004.90.22,,,,
2122.2170,3004.90.23,,,,
2122.2170,3004.90.24,,,,
2122.2170,3004.90.25,,,,
2122.2170,3004.90.26,,,,
2122.2170,3004.90.27,,,,
2122.2170,3004.90.28,,,,
2122.2170,3004.90.29,,,,
2122.2170,3004.90.31,,,,
2122.2170,3004.90.32,,,,
2122.2170,3004.90.33,,,,
2122.2170,3004.90.34,,,,
2122.2170,3004.90.35,,,,
2122.2170,3004.90.36,,,,
2122.2170,3004.90.37,,,,
2122.2170,3004.90.38,,,,
2122.2170,3004.90.39,,,,
2122.2170,3004.90.51,,,,
2122.2170,3004.90.52,,,,
2122.2170,3004.90.53,,,,
2122.2170,3004.90.54,,,,
2122.2170,3004.90.55,,,,
2122.2170,3004.90.57,,,,
2122.2170,3004.90.58,,,,
2122.2170,3004.90.59,,,,
2122.2170,3004.90.61,,,,
2122.2170,3004.90.62,,,,
2122.2170,3004.90.63,,,,
2122.2170,3004.90.64,,,,
2122.2170,3004.90.65,,,,
2122.2170,3004.90.66,,,,
2122.2170,3004.90.67,,,,
2122.2170,3004.90.68,,,,
2122.2170,3004.90.91,,,,
2122.2170,3004.90.92,,,,
2122.2170,3004.90.93,,,,
2122.2170,3004.90.94,,,,
2122.2170,3004.90.95,,,,
2122.2170,3004.90.96,,,,
2122.2170,3004.90.99,,,,
2122.2175,3004.90.99,,,,
2122.2180,3003.90.87,,,,
2122.2180,3003.90.89,,,,
2122.2180,3004.90.77,,,,
2122.2180,3004.90.79,,,,
2122.2200,3003.90.79,,,,
2122.2200,3004.90.69,,,,
2122.2217,3003.20.11,,,,
2122.2217,3003.20.19,,,,
2122.2217,3003.20.21,,,,
2122.2217,3003.20.29,,,,
2122.2217,3003.20.31,,,,
2122.2217,3003.20.32,,,,
2122.2217,3003.20.39,,,,
2122.2217,3003.20.41,,,,
2122.2217,3003.20.49,,,,
2122.2217,3003.20.51,,,,
2122.2217,3003.20.52,,,,
2122.2217,3003.20.59,,,,
2122.2217,3003.20.61,,,,
2122.2217,3003.20.62,,,,
2122.2217,3003.20.63,,,,
2122.2217,3003.20.69,,,,
2122.2217,3003.20.71,,,,
2122.2217,3003.20.72,,,,
2122.2217,3003.20.73,,,,
2122.2217,3003.20.79,,,,
2122.2217,3003.20.91,,,,
2122.2217,3003.20.92,,,,
2122.2217,3003.20.93,,,,
2122.2217,3003.20.94,,,,
2122.2217,3003.20.95,,,,
2122.2217,3003.20.99,,,,
2122.2217,3003.90.31,,,,
2122.2217,3003.90.69,,,,
2122.2217,3003.90.71,,,,
2122.2217,3003.90.76,,,,
2122.2217,3003.90.79,,,,
2122.2217,3003.90.87,,,,
2122.2217,3004.20.11,,,,
2122.2217,3004.20.19,,,,
2122.2217,3004.20.21,,,,
2122.2217,3004.20.29,,,,
2122.2217,3004.20.31,,,,
2122.2217,3004.20.32,,,,
2122.2217,3004.20.39,,,,
2122.2217,3004.20.41,,,,
2122.2217,3004.20.49,,,,
2122.2217,3004.20.51,,,,
2122.2217,3004.20.52,,,,
2122.2217,3004.20.59,,,,
2122.2217,3004.20.61,,,,
2122.2217,3004.20.62,,,,
2122.2217,3004.20.63,,,,
2122.2217,3004.20.69,,,,
2122.2217,3004.20.71,,,,
2122.2217,3004.20.72,,,,
2122.2217,3004.20.73,,,,
2122.2217,3004.20.79,,,,
2122.2217,3004.20.91,,,,
2122.2217,3004.20.92,,,,
2122.2217,3004.20.93,,,,
2122.2217,3004.20.94,,,,
2122.2217,3004.20.95,,,,
2122.2217,3004.20.99,,,,
2122.2217,3004.90.21,,,,
2122.2217,3004.90.59,,,,
2122.2217,3004.90.61,,,,
2122.2217,3004.90.66,,,,
2122.2217,3004.90.69,,,,
2122.2217,3004.90.77,,,,
2122.2217,3004.90.79,,,,
2122.2220,3003.41.00,,,,
2122.2220,3003.42.00,,,,
2122.2220,3003.43.00,,,,
2122.2220,3003.49.10,,,,
2122.2220,3003.49.20,,,,
2122.2220,3003.49.30,,,,
2122.2220,3003.49.40,,,,
2122.2220,3003.49.50,,,,
2122.2220,3003.49.90,,,,
2122.2220,3004.41.00,,,,
2122.2220,3004.42.00,,,,
2122.2220,3004.43.00,,,,
2122.2220,3004.49.10,,,,
2122.2220,3004.49.20,,,,
2122.2220,3004.49.30,,,,
2122.2220,3004.49.40,,,,
2122.2220,3004.49.50,,,,
2122.2220,3004.49.90,,,,
2122.2230,3003.90.82,,,,
2122.2230,3003.90.83,,,,
2122.2230,3003.90.85,,,,
2122.2230,3003.90.86,,,,
2122.2230,3003.90.88,,,,
2122.2230,3003.90.89,,,,
2122.2230,3004.90.72,,,,
2122.2230,3004.90.73,,,,
2122.2230,3004.90.75,,,,
2122.2230,3004.90.76,,,,
2122.2230,3004.90.78,,,,
2122.2230,3004.90.79,,,,
2122.2250,3006.60.00,,,,
2122.2260,3002.12.11,,,,
2122.2260,3002.12.12,,,,
2122.2260,3002.12.13,,,,
2122.2260,3002.12.14,,,,
2122.2260,3002.12.15,,,,
2122.2260,3002.12.16,,,,
2122.2260,3002.12.19,,,,
2122.2260,3002.12.21,,,,
2122.2260,3002.12.22,,,,
2122.2260,3002.12.23,,,,
2122.2260,3002.12.24,,,,
2122.2260,3002.12.29,,,,
2122.2260,3002.12.31,,,,
2122.2260,3002.12.32,,,,
2122.2260,3002.12.33,,,,
2122.2260,3002.12.34,,,,
2122.2260,3002.12.35,,,,
2122.2260,3002.12.36,,,,
2122.2260,3002.12.39,,,,
2122.2260,3002.13.00,,,,
2122.2260,3002.14.00,,,,
2122.2260,3002.15.10,,,,
2122.2260,3002.15.20,,,,
2122.2260,3002.15.90,,,,
2122.2260,3822.11.00,,,,
2122.2260,3822.19.40,,,,
2122.2260,Vazio,,,,
2122.2270,3002.42.10,,,,
2122.2270,3002.42.20,,,,
2122.2270,3002.42.30,,,,
2122.2270,3002.42.40,,,,
2122.2270,3002.42.50,,,,
2122.2270,3002.42.60,,,,
2122.2270,3002.42.70,,,,
2122.2270,3002.42.80,,,,
2122.2270,3002.42.90,,,,
2123.2050,3005.90.19,,,,
2123.2055,3005.10.10,,,,
2123.2055,3005.10.20,,,,
2123.2055,3005.10.30,,,,
2123.2055,3005.10.40,,,,
2123.2055,3005.10.50,,,,
2123.2055,3005.10.90,,,,
2123.2055,3005.90.11,,,,
2123.2055,3005.90.12,,,,
2123.2055,3005.90.19,,,,
2123.2055,3005.90.20,,,,
2123.2055,3005.90.90,,,,
2123.2155,3006.30.11,,,,
2123.2155,3006.30.12,,,,
2123.2155,3006.30.13,,,,
