PRODLIST-Ind 2022,NCM 2022 (SET/2022),PRODLIST Ind 2019,NCM 2019,PRODLIST Ind 2016,NCM 2016
1011.2110,4102.10.00,,,,
1011.2110,4102.21.00,,,,
1011.2110,4102.29.00,,,,
1011.2110,4103.90.00,,,,
1011.2120,0210.20.00,,,,
1011.2120,0210.99.40,,,,
1011.2120,1601.00.00,,,,
1011.2120,1602.20.00,,,,
1011.2120,1602.50.00,,,,
1011.2120,1602.90.00,,,,
1011.2130,0504.00.11,,,,
1011.2130,0504.00.12,,,,
1011.2130,0504.00.19,,,,
1011.2130,0504.00.90,,,,
1012.2010,0203.21.00,,,,
1012.2010,0203.22.00,,,,
1012.2010,0203.29.00,,,,
1012.2020,0203.11.00,,,,
1012.2020,0203.12.00,,,,
1012.2020,0203.19.00,,,,
1012.2030,0207.12.00,,,,
1012.2030,0207.14.00,,,,
1012.2030,0207.25.00,,,,
1012.2030,0207.27.00,,,,
1012.2030,0207.42.00,,,,
1012.2030,0207.45.00,,,,
1012.2030,0207.52.00,,,,
1012.2030,0207.55.00,,,,
1012.2030,0207.60.00,,,,
1012.2040,0207.11.00,,,,
1012.2040,0207.13.00,,,,
1012.2040,0207.24.00,,,,
1012.2040,0207.26.00,,,,
1012.2040,0207.41.00,,,,
1012.2040,0207.43.00,,,,
1012.2040,0207.44.00,,,,
1012.2040,0207.51.00,,,,
1012.2040,0207.53.00,,,,
1012.2040,0207.54.00,,,,
1012.2040,0207.60.00,,,,
1012.2050,0208.10.00,,,,
1012.2050,0208.30.00,,,,
1012.2050,0208.50.00,,,,
1012.2050,0208.90.00,,,,
1012.2060,0505.10.00,,,,
1012.2060,0505.90.00,,,,
1012.2060,4103.20.00,,,,
1012.2060,4103.90.00,,,,
1012.2070,0502.10.11,,,,
1012.2070,0502.10.19,,,,
1012.2070,0502.10.90,,,,
1012.2070,0506.10.00,,,,
1012.2070,0506.90.00,,,,
1012.2070,0510.00.90,,,,
1012.2070,0511.99.99,,,,
1012.2080,0206.30.00,,,,
1012.2080,0206.41.00,,,,
1012.2080,0206.49.00,,,,
1012.2090,4103.30.00,,,,
1012.2100,1601.00.00,,,,
1012.2100,1602.20.00,,,,
1012.2100,1602.31.00,,,,
1012.2100,1602.32.10,,,,
1012.2100,1602.32.20,,,,
1012.2100,1602.32.30,,,,
1012.2100,1602.32.90,,,,
1012.2100,1602.39.00,,,,
1012.2100,1602.90.00,,,,
1012.2110,1601.00.00,,,,
1012.2110,1602.20.00,,,,
1012.2110,1602.41.00,,,,
1012.2110,1602.42.00,,,,
1012.2110,1602.49.00,,,,
1012.2120,0209.10.11,,,,
1012.2120,0209.10.19,,,,
1012.2120,0209.10.21,,,,
1012.2120,0209.10.29,,,,
1012.2120,0209.90.00,,,,
1012.2120,1501.10.00,,,,
1012.2120,1501.20.00,,,,
1012.2120,1501.90.00,,,,
1012.2130,0504.00.13,,,,
1013.2010,0210.91.00,,,,
1013.2010,0210.92.00,,,,
1013.2010,0210.93.00,,,,
1013.2010,0210.99.11,,,,
1013.2010,0210.99.19,,,,
1013.2010,0210.99.20,,,,
1013.2010,0210.99.30,,,,
1013.2010,0210.99.40,,,,
1013.2010,0210.99.90,,,,
1013.2020,0210.20.00,,,,
1013.2030,0210.11.00,,,,
1013.2030,0210.12.00,,,,
1013.2030,0210.19.00,,,,
1013.2040,0201.30.00,,,,
1013.2040,0203.12.00,,,,
1013.2040,0203.19.00,,,,
1013.2040,0203.22.00,,,,
1013.2040,0203.29.00,,,,
1013.2040,0204.22.00,,,,
1013.2040,0204.23.00,,,,
1013.2040,0204.42.00,,,,
1013.2040,0204.43.00,,,,
1013.2040,0204.50.00,,,,
1013.2040,0205.00.00,,,,
1013.2040,0207.11.00,,,,
1013.2040,0207.12.00,,,,
1013.2040,0207.13.00,,,,
1013.2040,0207.14.00,,,,
1013.2040,0207.24.00,,,,
1013.2040,0207.25.00,,,,
1013.2040,0207.26.00,,,,
1013.2040,0207.27.00,,,,
1013.2040,0207.41.00,,,,
1013.2040,0207.42.00,,,,
1013.2040,0207.43.00,,,,
1013.2040,0207.44.00,,,,
1013.2040,0207.45.00,,,,
1013.2040,0207.51.00,,,,
1013.2040,0207.52.00,,,,
1013.2040,0207.53.00,,,,
1013.2040,0207.54.00,,,,
1013.2040,0207.55.00,,,,
1013.2040,0207.60.00,,,,
1013.2040,0208.10.00,,,,
1013.2040,0208.30.00,,,,
1013.2040,0208.40.00,,,,
1013.2040,0208.50.00,,,,
1013.2040,0208.60.00,,,,
1013.2040,0208.90.00,,,,
1013.2045,2301.10.10,,,,
1013.2045,2301.10.90,,,,
1013.2050,0210.99.40,,,,
1013.2050,1502.10.12,,,,
1013.2065,1601.00.00,,,,
1013.2065,1602.20.00,,,,
1013.2065,1602.49.00,,,,
1013.2065,1602.90.00,,,,
1020.2005,0306.11.10,,,,
1020.2005,0306.11.90,,,,
1020.2005,0306.12.00,,,,
1020.2005,0306.14.00,,,,
1020.2005,0306.15.00,,,,
1020.2005,0306.16.10,,,,
1020.2005,0306.16.90,,,,
1020.2005,0306.17.10,,,,
1020.2005,0306.17.90,,,,
1020.2005,0306.19.10,,,,
1020.2005,0306.19.90,,,,
1020.2005,0306.91.00,,,,
1020.2005,0306.92.00,,,,
1020.2005,0306.93.00,,,,
1020.2005,0306.94.00,,,,
1020.2005,0306.95.00,,,,
1020.2005,0306.99.10,,,,
1020.2005,0306.99.90,,,,
1020.2012,0306.19.90,,,,
1020.2012,0306.39.90,,,,
1020.2012,0306.99.90,,,,
1020.2012,0307.99.00,,,,
1020.2012,0309.10.00,,,,
1020.2012,0309.90.00,,,,
1020.2030,2301.20.10,,,,
1020.2030,2301.20.90,,,,
1020.2035,0302.91.00,,,,
1020.2035,0303.91.00,,,,
1020.2035,0305.20.00,,,,
1020.2045,0304.31.00,,,,
1020.2045,0304.32.10,,,,
1020.2045,0304.32.90,,,,
1020.2045,0304.33.00,,,,
1020.2045,0304.39.00,,,,
1020.2045,0304.41.00,,,,
1020.2045,0304.42.00,,,,
1020.2045,0304.43.00,,,,
1020.2045,0304.44.00,,,,
1020.2045,0304.45.00,,,,
1020.2045,0304.46.00,,,,
1020.2045,0304.47.00,,,,
1020.2045,0304.48.00,,,,
1020.2045,0304.49.10,,,,
1020.2045,0304.49.20,,,,
1020.2045,0304.49.90,,,,
1020.2045,0304.51.00,,,,
1020.2045,0304.52.00,,,,
1020.2045,0304.53.00,,,,
1020.2045,0304.54.00,,,,
1020.2045,0304.55.00,,,,
1020.2045,0304.56.00,,,,
1020.2045,0304.57.00,,,,
1020.2045,0304.59.00,,,,
1020.2045,0304.61.00,,,,
1020.2045,0304.62.10,,,,
1020.2045,0304.62.90,,,,
1020.2045,0304.63.00,,,,
1020.2045,0304.69.00,,,,
1020.2045,0304.71.00,,,,
1020.2045,0304.72.00,,,,
1020.2045,0304.73.00,,,,
1020.2045,0304.74.00,,,,
1020.2045,0304.75.00,,,,
1020.2045,0304.79.00,,,,
1020.2045,0304.81.00,,,,
1020.2045,0304.82.00,,,,
1020.2045,0304.83.00,,,,
1020.2045,0304.84.00,,,,
1020.2045,0304.85.10,,,,
1020.2045,0304.85.20,,,,
1020.2045,0304.86.00,,,,
1020.2045,0304.87.00,,,,
1020.2045,0304.88.10,,,,
1020.2045,0304.88.90,,,,
1020.2045,0304.89.10,,,,
1020.2045,0304.89.20,,,,
1020.2045,0304.89.30,,,,
1020.2045,0304.89.90,,,,
1020.2045,0304.91.00,,,,
1020.2045,0304.92.11,,,,
1020.2045,0304.92.12,,,,
1020.2045,0304.92.19,,,,
1020.2045,0304.92.21,,,,
1020.2045,0304.92.22,,,,
1020.2045,0304.92.29,,,,
1020.2045,0304.93.00,,,,
1020.2045,0304.94.00,,,,
1020.2045,0304.95.00,,,,
1020.2045,0304.96.00,,,,
1020.2045,0304.97.00,,,,
1020.2045,0304.99.00,,,,
1020.2050,0307.11.00,,,,
1020.2050,0307.12.00,,,,
1020.2050,0307.19.00,,,,
1020.2050,0307.22.00,,,,
1020.2050,0307.29.00,,,,
1020.2050,0307.32.00,,,,
1020.2050,0307.39.00,,,,
1020.2050,0307.43.10,,,,
1020.2050,0307.43.20,,,,
1020.2050,0307.49.00,,,,
1020.2050,0307.52.00,,,,
1020.2050,0307.59.00,,,,
1020.2050,0307.72.00,,,,
1020.2050,0307.79.00,,,,
1020.2050,0307.83.00,,,,
1020.2050,0307.84.00,,,,
1020.2050,0307.92.00,,,,
1020.2050,0307.99.00,,,,
1020.2050,0308.12.00,,,,
1020.2050,0308.22.00,,,,
1020.2050,0308.90.00,,,,
1020.2065,0303.11.00,,,,
1020.2065,0303.12.00,,,,
1020.2065,0303.13.00,,,,
1020.2065,0303.14.00,,,,
1020.2065,0303.19.00,,,,
1020.2065,0303.23.00,,,,
1020.2065,0303.24.10,,,,
1020.2065,0303.24.90,,,,
1020.2065,0303.25.00,,,,
1020.2065,0303.26.00,,,,
1020.2065,0303.29.00,,,,
1020.2065,0303.31.00,,,,
1020.2065,0303.32.00,,,,
1020.2065,0303.33.00,,,,
1020.2065,0303.34.00,,,,
1020.2065,0303.39.00,,,,
1020.2065,0303.41.00,,,,
1020.2065,0303.42.00,,,,
1020.2065,0303.43.00,,,,
1020.2065,0303.44.00,,,,
1020.2065,0303.45.00,,,,
1020.2065,0303.46.00,,,,
1020.2065,0303.49.00,,,,
1020.2065,0303.51.00,,,,
1020.2065,0303.53.00,,,,
1020.2065,0303.54.00,,,,
1020.2065,0303.55.00,,,,
1020.2065,0303.56.00,,,,
1020.2065,0303.57.00,,,,
1020.2065,0303.59.10,,,,
1020.2065,0303.59.20,,,,
1020.2065,0303.59.90,,,,
1020.2065,0303.63.00,,,,
1020.2065,0303.64.00,,,,
1020.2065,0303.65.00,,,,
1020.2065,0303.66.00,,,,
1020.2065,0303.67.00,,,,
1020.2065,0303.68.00,,,,
1020.2065,0303.69.10,,,,
1020.2065,0303.69.90,,,,
1020.2065,0303.81.11,,,,
1020.2065,0303.81.12,,,,
1020.2065,0303.81.13,,,,
1020.2065,0303.81.14,,,,
1020.2065,0303.81.19,,,,
1020.2065,0303.81.90,,,,
1020.2065,0303.82.00,,,,
1020.2065,0303.83.11,,,,
1020.2065,0303.83.19,,,,
1020.2065,0303.83.21,,,,
1020.2065,0303.83.29,,,,
1020.2065,0303.84.00,,,,
1020.2065,0303.89.10,,,,
1020.2065,0303.89.20,,,,
1020.2065,0303.89.32,,,,
1020.2065,0303.89.33,,,,
1020.2065,0303.89.41,,,,
1020.2065,0303.89.42,,,,
1020.2065,0303.89.43,,,,
1020.2065,0303.89.44,,,,
1020.2065,0303.89.45,,,,
1020.2065,0303.89.46,,,,
1020.2065,0303.89.51,,,,
1020.2065,0303.89.52,,,,
1020.2065,0303.89.53,,,,
1020.2065,0303.89.54,,,,
1020.2065,0303.89.55,,,,
1020.2065,0303.89.56,,,,
1020.2065,0303.89.61,,,,
1020.2065,0303.89.62,,,,
1020.2065,0303.89.63,,,,
1020.2065,0303.89.64,,,,
1020.2065,0303.89.65,,,,
1020.2065,0303.89.90,,,,
1020.2065,0303.92.00,,,,
1020.2065,0303.99.10,,,,
1020.2065,0303.99.20,,,,
1020.2065,0303.99.90,,,,
1020.2070,0305.31.00,,,,
1020.2070,0305.32.10,,,,
1020.2070,0305.32.20,,,,
1020.2070,0305.32.30,,,,
1020.2070,0305.32.90,,,,
1020.2070,0305.39.00,,,,
1020.2070,0305.41.00,,,,
1020.2070,0305.42.00,,,,
1020.2070,0305.43.00,,,,
1020.2070,0305.44.00,,,,
1020.2070,0305.49.10,,,,
1020.2070,0305.49.20,,,,
1020.2070,0305.49.90,,,,
1020.2070,0305.51.00,,,,
1020.2070,0305.52.00,,,,
1020.2070,0305.53.10,,,,
1020.2070,0305.53.90,,,,
1020.2070,0305.54.00,,,,
1020.2070,0305.59.00,,,,
1020.2070,0305.61.00,,,,
1020.2070,0305.62.00,,,,
1020.2070,0305.63.00,,,,
1020.2070,0305.64.00,,,,
1020.2070,0305.69.10,,,,
1020.2070,0305.69.90,,,,
1020.2070,0305.71.00,,,,
1020.2070,0305.72.00,,,,
1020.2070,0305.79.00,,,,
1020.2090,1605.10.00,,,,
1020.2090,1605.21.00,,,,
1020.2090,1605.29.00,,,,
1020.2090,1605.30.00,,,,
1020.2090,1605.40.00,,,,
1020.2090,1605.51.00,,,,
1020.2090,1605.52.00,,,,
1020.2090,1605.53.00,,,,
1020.2090,1605.54.00,,,,
1020.2090,1605.55.00,,,,
1020.2090,1605.56.00,,,,
1020.2090,1605.57.00,,,,
1020.2090,1605.58.00,,,,
1020.2090,1605.59.00,,,,
1020.2090,1605.61.00,,,,
1020.2090,1605.62.00,,,,
1020.2090,1605.63.00,,,,
1020.2090,1605.69.00,,,,
1020.2100,1604.11.00,,,,
1020.2100,1604.12.00,,,,
1020.2100,1604.13.10,,,,
1020.2100,1604.13.90,,,,
1020.2100,1604.14.10,,,,
1020.2100,1604.14.20,,,,
1020.2100,1604.14.30,,,,
1020.2100,1604.15.00,,,,
1020.2100,1604.16.00,,,,
1020.2100,1604.17.00,,,,
1020.2100,1604.19.00,,,,
1020.2100,1604.20.10,,,,
1020.2100,1604.20.20,,,,
1020.2100,1604.20.30,,,,
1020.2100,1604.20.90,,,,
1020.2100,1604.31.00,,,,
1020.2100,1604.32.00,,,,
1020.2110,0511.91.10,,,,
1020.2110,0511.91.90,,,,
1031.2010,1202.42.00,,,,
1031.2020,2008.11.00,,,,
1031.2020,2008.19.00,,,,
1031.2030,0814.00.00,,,,
1031.2040,0801.32.00,,,,
1031.2050,0801.22.00,,,,
1031.2060,0801.11.00,,,,
1031.2070,2008.20.10,,,,
1031.2080,2007.99.10,,,,
1031.2080,2007.99.23,,,,
1031.2090,2007.99.90,,,,
1031.2100,2008.99.00,,,,
1031.2110,2007.91.00,,,,
1031.2110,2007.99.10,,,,
1031.2110,2007.99.21,,,,
1031.2110,2007.99.22,,,,
1031.2110,2007.99.24,,,,
1031.2110,2007.99.25,,,,
1031.2110,2007.99.26,,,,
1031.2110,2007.99.27,,,,
1031.2110,2007.99.29,,,,
1031.2120,2007.99.10,,,,
1031.2120,2007.99.24,,,,
1031.2130,2008.99.00,,,,
1031.2140,2008.70.10,,,,
1031.2150,2008.40.10,,,,
1031.2150,2008.50.00,,,,
1031.2150,2008.60.10,,,,
1031.2150,2008.93.00,,,,
1031.2150,2008.97.10,,,,
1031.2150,2008.99.00,,,,
1031.2160,2002.90.00,,,,
1031.2170,0812.10.00,,,,
1031.2170,0812.90.00,,,,
1031.2180,1212.91.00,,,,
1031.2180,1212.92.00,,,,
1031.2180,1212.93.00,,,,
1031.2180,1212.94.00,,,,
1031.2180,1212.99.10,,,,
1031.2180,1212.99.90,,,,
1031.2180,2008.20.90,,,,
1031.2180,2008.30.00,,,,
1031.2180,2008.40.90,,,,
1031.2180,2008.50.00,,,,
1031.2180,2008.60.90,,,,
1031.2180,2008.70.90,,,,
1031.2180,2008.80.00,,,,
1031.2180,2008.93.00,,,,
1031.2180,2008.97.90,,,,
1031.2180,2008.99.00,,,,
1031.2190,0811.10.00,,,,
1031.2190,0811.20.00,,,,
1031.2190,0811.90.00,,,,
1031.2200,2007.91.00,,,,
1031.2200,2007.99.10,,,,
1031.2210,2007.99.10,,,,
1031.2220,2007.99.10,,,,
1031.2230,2007.99.10,,,,
1031.2235,0801.11.00,,,,
1031.2235,0802.12.00,,,,
1031.2235,0802.22.00,,,,
1031.2235,0802.32.00,,,,
1031.2235,0802.42.00,,,,
1031.2235,0802.52.00,,,,
1031.2235,0802.62.00,,,,
1031.2235,0802.91.00,,,,
1031.2235,0802.92.00,,,,
1031.2235,0802.99.00,,,,
1031.2245,0803.10.00,,,,
1031.2245,0803.90.00,,,,
1031.2245,0804.10.20,,,,
1031.2245,0804.20.20,,,,
1031.2245,0804.30.00,,,,
1031.2245,0804.40.00,,,,
1031.2245,0804.50.10,,,,
1031.2245,0804.50.20,,,,
1031.2245,0804.50.30,,,,
1031.2245,0805.10.00,,,,
1031.2245,0805.21.00,,,,
1031.2245,0805.22.00,,,,
1031.2245,0805.29.00,,,,
1031.2245,0805.40.00,,,,
1031.2245,0805.50.00,,,,
1031.2245,0805.90.00,,,,
1031.2245,0806.20.00,,,,
1031.2245,0813.10.00,,,,
1031.2245,0813.20.10,,,,
1031.2245,0813.20.20,,,,
1031.2245,0813.30.00,,,,
1031.2245,0813.40.10,,,,
1031.2245,0813.40.90,,,,
1031.2245,0813.50.00,,,,
1031.2250,2106.90.10,,,,
1031.2255,2008.99.00,,,,
1031.2265,2008.20.90,,,,
1031.2265,2008.70.20,,,,
1031.2265,2008.80.00,,,,
1031.2265,2008.93.00,,,,
1031.2265,2008.99.00,,,,
1031.2270,2308.00.00,,,,
1031.2280,2002.10.00,,,,
1032.2010,2004.10.00,,,,
1032.2010,2005.20.00,,,,
1032.2020,2005.40.00,,,,
1032.2030,1105.10.00,,,,
1032.2030,1105.20.00,,,,
1032.2040,2005.80.00,,,,
1032.2050,2008.91.00,,,,
1032.2060,2003.10.00,,,,
1032.2060,2003.90.00,,,,
